Position,Name,Salary,GameInfo,AvgPointsPerGame,TeamAbbrev 
RB,Le'Veon Bell,9300,PIT@DET 10/29/2017 08:30PM ET,,PIT
RB,Ezekiel Elliott,9200,DAL@WAS 10/29/2017 04:25PM ET,,DAL
WR,Antonio Brown,8800,PIT@DET 10/29/2017 08:30PM ET,,PIT
RB,LeSean McCoy,8700,OAK@BUF 10/29/2017 01:00PM ET,,BUF
WR,A.J. Green,8600,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Julio Jones,8400,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
RB,Melvin Gordon,8100,LAC@NE 10/29/2017 01:00PM ET,,LAC
WR,Mike Evans,7900,CAR@TB 10/29/2017 01:00PM ET,,TB
WR,Dez Bryant,7700,DAL@WAS 10/29/2017 04:25PM ET,,DAL
QB,Tom Brady,7600,LAC@NE 10/29/2017 01:00PM ET,,NE
WR,Michael Thomas,7600,CHI@NO 10/29/2017 01:00PM ET,,NO
WR,DeAndre Hopkins,7500,HOU@SEA 10/29/2017 04:05PM ET,,HOU
WR,Adam Thielen,7400,MIN@CLE 10/29/2017 09:30AM ET,,MIN
RB,Mark Ingram,7400,CHI@NO 10/29/2017 01:00PM ET,,NO
WR,Keenan Allen,7300,LAC@NE 10/29/2017 01:00PM ET,,LAC
QB,Dak Prescott,7300,DAL@WAS 10/29/2017 04:25PM ET,,DAL
RB,Devonta Freeman,7200,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
QB,Carson Wentz,7200,SF@PHI 10/29/2017 01:00PM ET,,PHI
WR,Stefon Diggs,7100,MIN@CLE 10/29/2017 09:30AM ET,,MIN
TE,Rob Gronkowski,7100,LAC@NE 10/29/2017 01:00PM ET,,NE
QB,Drew Brees,7000,CHI@NO 10/29/2017 01:00PM ET,,NO
TE,Zach Ertz,7000,SF@PHI 10/29/2017 01:00PM ET,,PHI
WR,Doug Baldwin,6900,HOU@SEA 10/29/2017 04:05PM ET,,SEA
WR,Brandin Cooks,6800,LAC@NE 10/29/2017 01:00PM ET,,NE
RB,Jordan Howard,6800,CHI@NO 10/29/2017 01:00PM ET,,CHI
QB,Matt Ryan,6800,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
WR,Alshon Jeffery,6700,SF@PHI 10/29/2017 01:00PM ET,,PHI
WR,Amari Cooper,6600,OAK@BUF 10/29/2017 01:00PM ET,,OAK
QB,Cam Newton,6600,CAR@TB 10/29/2017 01:00PM ET,,CAR
RB,Jerick McKinnon,6500,MIN@CLE 10/29/2017 09:30AM ET,,MIN
QB,Derek Carr,6500,OAK@BUF 10/29/2017 01:00PM ET,,OAK
WR,Chris Hogan,6500,LAC@NE 10/29/2017 01:00PM ET,,NE
QB,Russell Wilson,6500,HOU@SEA 10/29/2017 04:05PM ET,,SEA
WR,Golden Tate,6500,PIT@DET 10/29/2017 08:30PM ET,,DET
WR,Kelvin Benjamin,6400,CAR@TB 10/29/2017 01:00PM ET,,CAR
QB,Deshaun Watson,6400,HOU@SEA 10/29/2017 04:05PM ET,,HOU
QB,Kirk Cousins,6400,DAL@WAS 10/29/2017 04:25PM ET,,WAS
WR,Michael Crabtree,6300,OAK@BUF 10/29/2017 01:00PM ET,,OAK
QB,Philip Rivers,6300,LAC@NE 10/29/2017 01:00PM ET,,LAC
RB,Christian McCaffrey,6200,CAR@TB 10/29/2017 01:00PM ET,,CAR
WR,Pierre Garcon,6100,SF@PHI 10/29/2017 01:00PM ET,,SF
QB,Jameis Winston,6100,CAR@TB 10/29/2017 01:00PM ET,,TB
RB,Carlos Hyde,6000,SF@PHI 10/29/2017 01:00PM ET,,SF
QB,Ben Roethlisberger,6000,PIT@DET 10/29/2017 08:30PM ET,,PIT
QB,Matthew Stafford,6000,PIT@DET 10/29/2017 08:30PM ET,,DET
QB,Sam Bradford,5900,MIN@CLE 10/29/2017 09:30AM ET,,MIN
QB,Tyrod Taylor,5900,OAK@BUF 10/29/2017 01:00PM ET,,BUF
RB,Alvin Kamara,5900,CHI@NO 10/29/2017 01:00PM ET,,NO
WR,Devin Funchess,5900,CAR@TB 10/29/2017 01:00PM ET,,CAR
QB,Case Keenum,5800,MIN@CLE 10/29/2017 09:30AM ET,,MIN
RB,Chris Thompson,5800,DAL@WAS 10/29/2017 04:25PM ET,,WAS
QB,Andy Dalton,5700,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Danny Amendola,5700,LAC@NE 10/29/2017 01:00PM ET,,NE
WR,T.Y. Hilton,5600,IND@CIN 10/29/2017 01:00PM ET,,IND
QB,Josh McCown,5600,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
RB,Darren McFadden,5600,DAL@WAS 10/29/2017 04:25PM ET,,DAL
QB,Jimmy Garoppolo,5500,LAC@NE 10/29/2017 01:00PM ET,,NE
WR,Nelson Agholor,5500,SF@PHI 10/29/2017 01:00PM ET,,PHI
RB,Alfred Morris,5500,DAL@WAS 10/29/2017 04:25PM ET,,DAL
WR,Marvin Jones Jr.,5500,PIT@DET 10/29/2017 08:30PM ET,,DET
QB,Andrew Luck,5400,IND@CIN 10/29/2017 01:00PM ET,,IND
RB,Doug Martin,5400,CAR@TB 10/29/2017 01:00PM ET,,TB
WR,Terrelle Pryor Sr.,5400,DAL@WAS 10/29/2017 04:25PM ET,,WAS
QB,Derek Anderson,5300,CAR@TB 10/29/2017 01:00PM ET,,CAR
WR,Will Fuller V,5300,HOU@SEA 10/29/2017 04:05PM ET,,HOU
RB,Lamar Miller,5200,HOU@SEA 10/29/2017 04:05PM ET,,HOU
RB,LeGarrette Blount,5100,SF@PHI 10/29/2017 01:00PM ET,,PHI
QB,C.J. Beathard,5100,SF@PHI 10/29/2017 01:00PM ET,,SF
WR,DeSean Jackson,5100,CAR@TB 10/29/2017 01:00PM ET,,TB
RB,Latavius Murray,5000,MIN@CLE 10/29/2017 09:30AM ET,,MIN
RB,Tevin Coleman,5000,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
QB,Ryan Fitzpatrick,5000,CAR@TB 10/29/2017 01:00PM ET,,TB
QB,Teddy Bridgewater,4900,MIN@CLE 10/29/2017 09:30AM ET,,MIN
QB,Jacoby Brissett,4900,IND@CIN 10/29/2017 01:00PM ET,,IND
RB,James White,4900,LAC@NE 10/29/2017 01:00PM ET,,NE
WR,Mohamed Sanu,4900,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
TE,Austin Seferian-Jenkins,4900,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
RB,Wendell Smallwood,4900,SF@PHI 10/29/2017 01:00PM ET,,PHI
WR,Kenny Golladay,4900,PIT@DET 10/29/2017 08:30PM ET,,DET
WR,Corey Coleman,4800,MIN@CLE 10/29/2017 09:30AM ET,,CLE
QB,EJ Manuel,4800,OAK@BUF 10/29/2017 01:00PM ET,,OAK
WR,Tyrell Williams,4800,LAC@NE 10/29/2017 01:00PM ET,,LAC
TE,Hunter Henry,4800,LAC@NE 10/29/2017 01:00PM ET,,LAC
RB,Bilal Powell,4800,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
WR,Jermaine Kearse,4800,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
QB,Brian Hoyer,4800,SF@PHI 10/29/2017 01:00PM ET,,SF
QB,AJ McCarron,4700,IND@CIN 10/29/2017 01:00PM ET,,CIN
RB,Joe Mixon,4700,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Ted Ginn Jr.,4700,CHI@NO 10/29/2017 01:00PM ET,,NO
QB,Colt McCoy,4700,DAL@WAS 10/29/2017 04:25PM ET,,WAS
TE,Jordan Reed,4700,DAL@WAS 10/29/2017 04:25PM ET,,WAS
QB,Kevin Hogan,4600,MIN@CLE 10/29/2017 09:30AM ET,,CLE
QB,DeShone Kizer,4600,MIN@CLE 10/29/2017 09:30AM ET,,CLE
RB,Dion Lewis,4600,LAC@NE 10/29/2017 01:00PM ET,,NE
QB,Chase Daniel,4600,CHI@NO 10/29/2017 01:00PM ET,,NO
QB,Mitchell Trubisky,4600,CHI@NO 10/29/2017 01:00PM ET,,CHI
RB,Tarik Cohen,4600,CHI@NO 10/29/2017 01:00PM ET,,CHI
WR,Taylor Gabriel,4600,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
TE,Jimmy Graham,4600,HOU@SEA 10/29/2017 04:05PM ET,,SEA
TE,Kyle Rudolph,4500,MIN@CLE 10/29/2017 09:30AM ET,,MIN
QB,Cody Kessler,4500,MIN@CLE 10/29/2017 09:30AM ET,,CLE
RB,Duke Johnson Jr.,4500,MIN@CLE 10/29/2017 09:30AM ET,,CLE
QB,Cardale Jones,4500,LAC@NE 10/29/2017 01:00PM ET,,LAC
TE,Cameron Brate,4500,CAR@TB 10/29/2017 01:00PM ET,,TB
WR,Cole Beasley,4500,DAL@WAS 10/29/2017 04:25PM ET,,DAL
QB,Cooper Rush,4500,DAL@WAS 10/29/2017 04:25PM ET,,DAL
QB,Landry Jones,4500,PIT@DET 10/29/2017 08:30PM ET,,PIT
RB,James Conner,4500,PIT@DET 10/29/2017 08:30PM ET,,PIT
QB,Mike Glennon,4400,CHI@NO 10/29/2017 01:00PM ET,,CHI
QB,Nick Foles,4400,SF@PHI 10/29/2017 01:00PM ET,,PHI
TE,Greg Olsen,4400,CAR@TB 10/29/2017 01:00PM ET,,CAR
RB,Jalen Richard,4300,OAK@BUF 10/29/2017 01:00PM ET,,OAK
QB,Scott Tolzien,4300,IND@CIN 10/29/2017 01:00PM ET,,IND
QB,Matt Schaub,4300,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
QB,Austin Davis,4300,HOU@SEA 10/29/2017 04:05PM ET,,SEA
QB,Tom Savage,4300,HOU@SEA 10/29/2017 04:05PM ET,,HOU
WR,Jamison Crowder,4300,DAL@WAS 10/29/2017 04:25PM ET,,WAS
RB,Theo Riddick,4300,PIT@DET 10/29/2017 08:30PM ET,,DET
RB,Mike Gillislee,4200,LAC@NE 10/29/2017 01:00PM ET,,NE
RB,Matt Forte,4200,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
WR,Robby Anderson,4200,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
RB,Matt Breida,4200,SF@PHI 10/29/2017 01:00PM ET,,SF
TE,Jason Witten,4200,DAL@WAS 10/29/2017 04:25PM ET,,DAL
RB,Samaje Perine,4200,DAL@WAS 10/29/2017 04:25PM ET,,WAS
RB,Ameer Abdullah,4200,PIT@DET 10/29/2017 08:30PM ET,,DET
QB,Jake Rudock,4200,PIT@DET 10/29/2017 08:30PM ET,,DET
RB,Marshawn Lynch,4100,OAK@BUF 10/29/2017 01:00PM ET,,OAK
RB,DeAndre Washington,4100,OAK@BUF 10/29/2017 01:00PM ET,,OAK
TE,Austin Hooper,4100,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
WR,Tyler Lockett,4100,HOU@SEA 10/29/2017 04:05PM ET,,SEA
RB,Rob Kelley,4100,DAL@WAS 10/29/2017 04:25PM ET,,WAS
DST,Vikings ,4000,MIN@CLE 10/29/2017 09:30AM ET,,MIN
WR,Josh Gordon,4000,MIN@CLE 10/29/2017 09:30AM ET,,CLE
QB,Kyle Sloter,4000,MIN@CLE 10/29/2017 09:30AM ET,,MIN
QB,Joe Webb,4000,OAK@BUF 10/29/2017 01:00PM ET,,BUF
TE,Charles Clay,4000,OAK@BUF 10/29/2017 01:00PM ET,,BUF
QB,Connor Cook,4000,OAK@BUF 10/29/2017 01:00PM ET,,OAK
QB,Nathan Peterman,4000,OAK@BUF 10/29/2017 01:00PM ET,,BUF
RB,Frank Gore,4000,IND@CIN 10/29/2017 01:00PM ET,,IND
QB,Jeff Driskel,4000,IND@CIN 10/29/2017 01:00PM ET,,CIN
RB,Marlon Mack,4000,IND@CIN 10/29/2017 01:00PM ET,,IND
QB,Kellen Clemens,4000,LAC@NE 10/29/2017 01:00PM ET,,LAC
QB,Mark Sanchez,4000,CHI@NO 10/29/2017 01:00PM ET,,CHI
QB,Taysom Hill,4000,CHI@NO 10/29/2017 01:00PM ET,,NO
WR,Willie Snead,4000,CHI@NO 10/29/2017 01:00PM ET,,NO
QB,Bryce Petty,4000,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
RB,Elijah McGuire,4000,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
QB,Christian Hackenberg,4000,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
RB,Jacquizz Rodgers,4000,CAR@TB 10/29/2017 01:00PM ET,,TB
QB,Ryan Griffin,4000,CAR@TB 10/29/2017 01:00PM ET,,TB
QB,Garrett Gilbert,4000,CAR@TB 10/29/2017 01:00PM ET,,CAR
WR,Paul Richardson,4000,HOU@SEA 10/29/2017 04:05PM ET,,SEA
RB,D'Onta Foreman,4000,HOU@SEA 10/29/2017 04:05PM ET,,HOU
QB,Kellen Moore,4000,DAL@WAS 10/29/2017 04:25PM ET,,DAL
QB,Joshua Dobbs,4000,PIT@DET 10/29/2017 08:30PM ET,,PIT
QB,Brad Kaaya,4000,PIT@DET 10/29/2017 08:30PM ET,,DET
WR,JuJu Smith-Schuster,4000,PIT@DET 10/29/2017 08:30PM ET,,PIT
TE,Jared Cook,3900,OAK@BUF 10/29/2017 01:00PM ET,,OAK
WR,Jordan Matthews,3900,OAK@BUF 10/29/2017 01:00PM ET,,BUF
WR,Travis Benjamin,3900,LAC@NE 10/29/2017 01:00PM ET,,LAC
RB,Branden Oliver,3900,LAC@NE 10/29/2017 01:00PM ET,,LAC
WR,Torrey Smith,3900,SF@PHI 10/29/2017 01:00PM ET,,PHI
WR,Marquise Goodwin,3900,SF@PHI 10/29/2017 01:00PM ET,,SF
RB,Corey Clement,3900,SF@PHI 10/29/2017 01:00PM ET,,PHI
WR,Josh Doctson,3900,DAL@WAS 10/29/2017 04:25PM ET,,WAS
RB,Isaiah Crowell,3800,MIN@CLE 10/29/2017 09:30AM ET,,CLE
RB,Mike Tolbert,3800,OAK@BUF 10/29/2017 01:00PM ET,,BUF
WR,Jeremy Kerley,3800,ATL@NYJ 10/29/2017 01:00PM ET,,NYJ
DST,Eagles ,3800,SF@PHI 10/29/2017 01:00PM ET,,PHI
WR,Martavis Bryant,3800,PIT@DET 10/29/2017 08:30PM ET,,PIT
WR,Deonte Thompson,3700,OAK@BUF 10/29/2017 01:00PM ET,,BUF
WR,Brandon LaFell,3700,IND@CIN 10/29/2017 01:00PM ET,,CIN
RB,Giovani Bernard,3700,IND@CIN 10/29/2017 01:00PM ET,,CIN
WR,Phillip Dorsett,3700,LAC@NE 10/29/2017 01:00PM ET,,NE
WR,Justin Hardy,3700,ATL@NYJ 10/29/2017 01:00PM ET,,ATL
WR,Adam Humphries,3700,CAR@TB 10/29/2017 01:00PM ET,,TB
RB,Alfred Blue,3700,HOU@SEA 10/29/2017 04:05PM ET,,HOU
RB,C.J. Prosise,3700,HOU@SEA 10/29/2017 04:05PM ET,,SEA
TE,Vernon Davis,3700,DAL@WAS 10/29/2017 04:25PM ET,,WAS
DST,Bengals ,3600,IND@CIN 10/29/2017 01:00PM ET,,CIN
RB,Rex Burkhead,3600,LAC@NE 10/29/2017 01:00PM ET,,NE
WR,Malcolm Mitchell,3600,LAC@NE 10/29/2017 01:00PM ET,,NE
WR,Mike Williams,3600,LAC@NE 10/29/2017 01:00PM ET,,LAC
WR,Aldrick Robinson,3600,SF@PHI 10/29/2017 01:00PM ET,,SF
RB,Kenjon Barner,3600,SF@PHI 10/29/2017 01:00PM ET,,PHI
TE,George Kittle,3600,SF@PHI 10/29/2017 01:00PM ET,,SF
RB,Jonathan Stewart,3600,CAR@TB 10/29/2017 01:00PM ET,,CAR
RB,Thomas Rawls,3600,HOU@SEA 10/29/2017 04:05PM ET,,SEA
WR,Terrance Williams,3600,DAL@WAS 10/29/2017 04:25PM ET,,DAL
RB,Zach Zenner,3600,PIT@DET 10/29/2017 08:30PM ET,,DET
RB,Dwayne Washington,3600,PIT@DET 10/29/2017 08:30PM ET,,DET
WR,Ricardo Louis,3500,MIN@CLE 10/29/2017 09:30AM ET,,CLE
WR,Zay Jones,3500,OAK@BUF 10/29/2017 01:00PM ET,,BUF
TE,Jack Doyle,3500,IND@CIN 10/29/2017 01:00PM ET,,IND
